날짜시간,종목,액션,가격,수량,거래금액,수수료,손익,보유현금
2026-03-14 21:42:23,WLD,매수,520,319.688177,"166,250",417,-,"833,333"
2026-03-15 01:11:06,WLD,매도,522,319.688177,"166,863",417,195,"666,445"
2026-03-15 05:18:55,WLD,매수,521,319.073392,"166,250",417,-,"414,800"
2026-03-15 08:45:01,WLD,매도,525,319.073392,"167,497",419,828,"995,887"
2026-03-15 20:39:20,WLD,매수,529,314.238946,"166,250",417,-,"660,920"
2026-03-15 23:40:27,WLD,매도,525,314.238946,"164,959",412,"-1,703","821,751"
2026-03-16 00:31:45,WLD,매수,528,314.835225,"166,250",417,-,"488,418"
2026-03-16 03:42:11,WLD,매도,533,314.835225,"167,786",419,"1,116","654,289"
2026-03-16 20:17:46,WLD,매수,557,298.413963,"166,250",417,-,"393,139"
2026-03-16 23:18:54,WLD,매도,564,298.413963,"168,267",421,"1,596","790,236"
2026-03-17 03:23:29,WLD,매수,578,287.553143,"166,250",417,-,"543,268"
2026-03-17 06:51:43,WLD,매도,587,287.553143,"168,743",422,"2,071","624,209"
